product_ndc,generic_name,brand_name,labeler_name,active_ingredients,dosage_form,route,product_type,marketing_category,application_number
71335-2580,Chlorthalidone,Chlorthalidone,Bryant Ranch Prepack,CHLORTHALIDONE (50 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA213412
71335-2844,doxycycline hyclate,doxycycline hyclate,Bryant Ranch Prepack,DOXYCYCLINE HYCLATE (50 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA062500
71335-9655,Glimepiride,Glimepiride,Bryant Ranch Prepack,GLIMEPIRIDE (1 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA202759
71412-110,Isopropyl Alcohol,Alcohol Prep Pad,R&C Imports LLC,ISOPROPYL ALCOHOL (.7 mL/1),SWAB,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
71610-217,Hydroxyzine Pamoate,Hydroxyzine Pamoate,"Aphena Pharma Solutions - Tennessee, LLC",HYDROXYZINE PAMOATE (25 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA040156
71610-617,Carisoprodol,Carisoprodol,"Aphena Pharma Solutions - Tennessee, LLC",CARISOPRODOL (350 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA040188
0409-1105,ATRACURIUM BESYLATE,Atracurium Besylate,"Hospira, Inc.",ATRACURIUM BESYLATE (10 mg/mL),"INJECTION, SOLUTION",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA090761
71726-004,Menthol,FREEZE IT Menthol,LiquidCapsule Manufacturing LLC,MENTHOL (3.5 g/100g),GEL,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
72603-188,Dexamethasone,Dexamethasone,NorthStar Rx LLC,DEXAMETHASONE (2 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA217696
72603-722,Lidocaine hydrochloride,Lidocaine hydrochloride,NorthStar RxLLC,LIDOCAINE HYDROCHLORIDE ANHYDROUS (10 mg/mL),"INJECTION, SOLUTION","INFILTRATION, PERINEURAL",HUMAN PRESCRIPTION DRUG,ANDA,ANDA214336
72782-110,"octisalate, homosalate, zinc oxide",Skin On Skin BC Foundation SPF 40 - Medium Neutral,"YENSA Beauty, LLC",HOMOSALATE (7 g/100mL); OCTISALATE (3 g/100mL); ZINC OXIDE (7 g/100mL),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
72789-284,Metoprolol succinate,Metoprolol succinate,"PD-Rx Pharmaceuticals, Inc.",METOPROLOL SUCCINATE (50 mg/1),"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA090617
72162-1962,Testosterone,Testosterone,Bryant Ranch Prepack,TESTOSTERONE (20.25 mg/1.25g),"GEL, METERED",TRANSDERMAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA210835
72162-2263,Rocuronium,Rocuronium,Bryant Ranch Prepack,ROCURONIUM BROMIDE (50 mg/5mL),"INJECTION, SOLUTION",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA210437
72162-2512,Hydroxyzine Hydrochloride,Hydroxyzine Hydrochloride,Bryant Ranch Prepack,HYDROXYZINE DIHYDROCHLORIDE (25 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA087871
72162-1128,tobramycin and dexamethasone,TOBRAMYCIN AND DEXAMETHASONE,Bryant Ranch Prepack,DEXAMETHASONE (1 mg/mL); TOBRAMYCIN (3 mg/mL),SUSPENSION/ DROPS,OPHTHALMIC,HUMAN PRESCRIPTION DRUG,ANDA,ANDA212715
72162-1562,Phentermine Hydrochloride,Phentermine Hydrochloride,Bryant Ranch Prepack,PHENTERMINE HYDROCHLORIDE (37.5 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA200272
72189-261,ARMODAFINIL,ARMODAFINIL,direct rx,ARMODAFINIL (250 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,NDA AUTHORIZED GENERIC,NDA021875
72189-540,Prazosin HCL,Prazosin HCL,Direct_Rx,PRAZOSIN HYDROCHLORIDE (2 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA215697
72205-086,Tiagabine Hydrochloride,Tiagabine Hydrochloride,Novadoz Pharmaceuticals LLC,TIAGABINE HYDROCHLORIDE (12 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA214816
72266-122,Metoprolol Tartrate,Metoprolol Tartrate,FOSUN PHARMA USA INC,METOPROLOL TARTRATE (5 mg/5mL),"INJECTION, SOLUTION",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA204205
72288-648,Phenylephrine hydrochloride,basic care nasal,Amazon.com Services LLC,PHENYLEPHRINE HYDROCHLORIDE (1 g/100mL),SPRAY,NASAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
72444-0206,ZINC OXIDE,Crunchi Sunlight Tinted Sunscreen SPF 30 Deep,"Crunchi, LLC.",ZINC OXIDE (940 mg/mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
72485-107,TRANEXAMIC ACID,TRANEXAMIC ACID,Armas Pharmaceuticals Inc.,TRANEXAMIC ACID (100 mg/mL),INJECTION,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA206713
72572-250,Heparin Sodium,Heparin Sodium,"Civica, Inc.",HEPARIN SODIUM (1000 [USP'U]/mL),INJECTION,"INTRAVENOUS, SUBCUTANEOUS",HUMAN PRESCRIPTION DRUG,NDA,NDA017037
0517-1020,Vasopressin,Vasopressin,"American Regent, Inc.",VASOPRESSIN (20 [USP'U]/mL),"INJECTION, SOLUTION",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,NDA,NDA212593
72854-243,"Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride, Triprolidine Hydrochloride","Mucinex Sinus-Max Day Pressure, Pain and Cough and Mucinex Nightshift Night Sinus Maximum Strength",RB Health (US) LLC,,KIT,,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
72888-048,Acetazolamide,Acetazolamide,Advagen Pharma Ltd,ACETAZOLAMIDE (250 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA215101
72789-525,Minocycline Hydrochloride,Minocycline Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",MINOCYCLINE HYDROCHLORIDE (90 mg/1),"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA204453
73096-755,Camphor,CBD Clinic Relax Massage,"ABACUS HEALTH PRODUCTS, INC.",CAMPHOR (NATURAL) (5 g/100g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
76420-536,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,"Asclemed USA, Inc.",TRAMADOL HYDROCHLORIDE (100 mg/1),"TABLET, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA200503
76329-1912,Morphine Sulfate,Morphine Sulfate,"International Medication Systems, Limited",MORPHINE SULFATE (1 mg/30mL),INJECTION,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA202861
76354-775,"ZINC OXIDE, TITANIUM DIOXIDE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Hydrating Camo CC Cream SPF30 Light 205 N,"e.l.f. Cosmetics, Inc.",HOMOSALATE (50 mg/g); OCTISALATE (45 mg/g); OCTOCRYLENE (30 mg/g); TITANIUM DIOXIDE (60 mg/g); ZINC OXIDE (63 mg/g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
76420-124,PREGABALIN,PREGABALIN,"Asclemed USA, Inc.",PREGABALIN (300 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA210432
0517-9203,Trace Elements 4,Multitrace -4 Pediatric,"American Regent, Inc.",CHROMIC CHLORIDE (5.12 ug/mL); CUPRIC SULFATE (.4 mg/mL); MANGANESE SULFATE (77 ug/mL); ZINC SULFATE HEPTAHYDRATE (4.39 mg/mL),"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,UNAPPROVED DRUG OTHER,
73469-0549,TOLNAFTATE,Dr Scholls Fungal Nail Clear and Cure Tolnaftate Antifungal,Scholl's Wellness Company LLC,TOLNAFTATE (11 mg/mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M005
73597-029,Petrolatum Jelly,Royal Creamy Petroleum Jelly Cocoa Butter,Mission Series Inc. dba Prestige Beauty Care,PETROLATUM (30 g/100g),JELLY,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M016
73928-048,SODIUM FLUORIDE,BRUSH BUDDIES BRBIE ANTICAVITY FLUORIDE BUBBLEGUM,"Kingkey MBC Life Technology Group co., LTD.",SODIUM FLUORIDE (.05 g/100mL),LIQUID,ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M021
74866-414,MINOXIDIL,SUAVECITO 5% Minoxidil Solution,"SUAVECITO, INC.",MINOXIDIL (50 mg/mL),LIQUID,TOPICAL,HUMAN OTC DRUG,ANDA,ANDA076239
75742-042,Ethyl Alcohol 70%,AshleyBelle Moisturizing Hand Sanitizer Spearmint Eucalyptus,"Zhejiang Guoyao Jingyue Aerosol Co., Ltd.",ALCOHOL (70 mL/100mL),SPRAY,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
75907-071,Nortriptyline Hydrochloride,Nortriptyline Hydrochloride,Dr. Reddy's Laboratories Inc.,NORTRIPTYLINE HYDROCHLORIDE (50 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA073556
76125-665,ANTIHEMOPHILIC FACTOR (HUMAN),Koate,"KEDRION BIOPHARMA, INC.",,KIT,INTRAVENOUS,PLASMA DERIVATIVE,BLA,BLA101130
76281-119,IBUPROFEN,Childrens Ibuprofen Oral Suspension,AptaPharma Inc.,IBUPROFEN (100 mg/5mL),SUSPENSION,ORAL,HUMAN OTC DRUG,ANDA,ANDA210602
76420-836,Gabapentin,GABAPENTIN,"Asclemed USA, Inc.",GABAPENTIN (600 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA214957
76472-4075,CINCHONA OFFICINALIS,CINCHONA OFFICINALIS 200CK,SEVENE USA,CINCHONA OFFICINALIS WHOLE (200 [hp_C]/1),PELLET,SUBLINGUAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
77771-237,Buspirone hydrochloride,Buspirone hydrochloride,"Radha Pharmaceuticals, Inc.",BUSPIRONE HYDROCHLORIDE (15 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA202087
78982-005,Benzalkonium Chloride,Klean Freak,"KLEAN FREAK, LLC",BENZALKONIUM CHLORIDE (.13 g/100g),CLOTH,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
79481-0827,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",meijer Daytime Cold and Flu SOFTGEL,"Meijer, Inc.",ACETAMINOPHEN (325 mg/1); DEXTROMETHORPHAN HYDROBROMIDE (10 mg/1); PHENYLEPHRINE HYDROCHLORIDE (5 mg/1),"CAPSULE, LIQUID FILLED",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
79903-021,"MENTHOL, UNSPECIFIED FORM",Equate Cold Therapy Pain Relieving Analgesic,"Wal-Mart Stores, Inc.","MENTHOL, UNSPECIFIED FORM (40 mg/mL)",GEL,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
79903-360,"Avobenzone, Homosalate, Octocrylene",SPF 50 Baby Sunscreen Equate,Walmart Inc,AVOBENZONE (3 g/100mL); HOMOSALATE (10 g/100mL); OCTOCRYLENE (6 g/100mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
80425-0050,Naproxen,Naproxen,"Advanced Rx of Tennessee, LLC",NAPROXEN (500 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA078250
80425-0309,Citalopram Hydrobromide,Citalopram Hydrobromide,"Advanced Rx Pharmacy of Tennessee, LLC",CITALOPRAM HYDROBROMIDE (10 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA077031
0574-0294,hydromorphone hydrochloride,hydromorphone hydrochloride,Padagis US LLC,HYDROMORPHONE HYDROCHLORIDE (12 mg/1),"TABLET, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA204278
0574-2301,tretinoin,TRETINOIN,Padagis US LLC,TRETINOIN (.1 mg/g),GEL,TOPICAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA075589
81085-0001,Isopropyl Alcohol,Curaplex Alcohol Prep Pad,"Sarnova, Inc.",ISOPROPYL ALCOHOL (.7 mL/mL),SWAB,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
81434-693,Sani-Lotion,Sani-Lotion,Tifco Industries,ALCOHOL (67 mL/100mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,505G(a)(3)
0591-2245,Mesalamine,Mesalamine,"Actavis Pharma, Inc.",MESALAMINE (1.2 g/1),"TABLET, DELAYED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA203817
82009-068,CELECOXIB,CELECOXIB,Quallent Pharmaceuticals Health LLC,CELECOXIB (100 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207446
82141-0913,Titanium Dioxide,toty Ilumina CC Creamy Compact 6N,Chipican LLC,TITANIUM DIOXIDE (10.4 g/100g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
82402-010,BENZALKONIUM CHLORIDE,Cart Wipes Clean Sanitizing Wipes,Carts and Parts INC.,BENZALKONIUM CHLORIDE (.0019 g/1),CLOTH,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M003
82501-4661,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",Cold and Flu Relief,"Gobrands, Inc. (Goodnow)",ACETAMINOPHEN (325 mg/15mL); DEXTROMETHORPHAN HYDROBROMIDE (10 mg/15mL); PHENYLEPHRINE HYDROCHLORIDE (5 mg/15mL),LIQUID,ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
82699-309,Dry Idea Plant Based Deodorant and Antiperspirant Fresh Breeze Invisible Solid,Dry Idea Plant Based Deodorant and Antiperspirant Fresh Breeze Invisible Solid,Thriving Brands LLC,ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY (18 g/100g),STICK,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M019
82804-053,Levothyroxine Sodium,Levothyroxine sodium,Proficient Rx LP,LEVOTHYROXINE SODIUM (75 ug/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA212399
82804-980,Famotidine,Famotidine,Proficient Rx LP,FAMOTIDINE (20 mg/1),"TABLET, COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA217669
82953-017,"Avobenzone,Homosalate,Octocrylene,Octisalate",SUNSCREEN 01,"Cosmuses Cosmetics (Ningbo) Co., Ltd.",AVOBENZONE (3 g/100mL); HOMOSALATE (10 g/100mL); OCTISALATE (5 g/100mL); OCTOCRYLENE (10 g/100mL),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
82969-2138,"Gymnema, Syzygium, Abroma Aug, Cephlandra, Vaccinium Myrtillus",Bestmade Natural Products BM138,Bestmade Natural Products,ABROMA AUGUSTUM WHOLE (10 [hp_C]/10[hp_C]); BILBERRY (10 [hp_C]/10[hp_C]); COCCINIA GRANDIS WHOLE (10 [hp_C]/10[hp_C]); GYMNEMA SYLVESTRE WHOLE (10 [hp_C]/10[hp_C]); SYZYGIUM CUMINI SEED (10 [hp_C]/10[hp_C]),LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
82969-5100,Thuja Occidentalis,Bestmade Natural Products Thuja Occ,Bestmade Natural Products,THUJA OCCIDENTALIS LEAFY TWIG (30 [hp_C]/30[hp_C]),"TABLET, SOLUBLE",ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
83013-311,Peach Iced Tea Flavor Sodium Fluoride Anticavity Toothpaste,Hismile,Hismile Pty Ltd,SODIUM FLUORIDE (2.4 mg/g),GEL,DENTAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M021
83033-0040,GLYCERIN,ANTIBACTERIAL FRUITY ZEST,Quimicas Handal de Centroamerica SA de CV,GLYCERIN (1 g/g),SOAP,TRANSDERMAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M016
83209-143,Lovastatin,Lovastatin,Boswell Pharmacy Services LLC d/b/a BPS Wholesale,LOVASTATIN (40 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA075991
83324-017,"Acetaminophen, Caffeine, Pyrilamine maleate",Menstrual Complete,"Chain Drug Marketing Association, Inc.",ACETAMINOPHEN (500 mg/1); CAFFEINE (60 mg/1); PYRILAMINE MALEATE (15 mg/1),"TABLET, FILM COATED",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M013
83698-585,MENTHOL,Exchange Select Cough Drops Original Herb,"Xiamen Kang Zhongyuan Biotechnology Co., Ltd.",MENTHOL (4.8 mg/1),LOZENGE,ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M012
83324-304,Simethicone,QUALITY CHOICE Maximum Strength Gas Relief Softgel,"Chain Drug Marketing Association, Inc.","DIMETHICONE, UNSPECIFIED (250 mg/1)","CAPSULE, LIQUID FILLED",ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M002
83570-523,"Camphora HPUS, Aloe",OLD TIME Owell Naturals Draw Salve with Aloe,Owell Naturals Brand LLC,CAMPHOR (NATURAL) (1.132 g/56.6g),SALVE,TOPICAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
83854-017,NOREPINEPHRINE BITARTRATE,NOREPINEPHRINE BITARTRATE,Anthea Pharma Private Limited,NOREPINEPHRINE BITARTRATE (1 mg/mL),"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,ANDA,ANDA219924
84010-078,Salicylic Acid 17% Liquid Wart Corn Remover,Folupia Liquid Wart Corn Remover,"Jiangxi Hemei Pharmaceutical Co., Ltd",SALICYLIC ACID (17 g/100mL),LIQUID,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M028
84035-009,Sodium Fluoride 0.05%,Dentalclean Blue Diamond Alcohol Free Mouthwash,Rabbit Indstria e Comrcio de Produtos de Higiene Pessoal Ltda,SODIUM FLUORIDE (.2 mg/mL),RINSE,DENTAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M021
0615-8529,Doxycycline Hyclate,Doxycycline Hyclate,"NCS HealthCare of KY, LLC dba Vangard Labs",DOXYCYCLINE HYCLATE (100 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207773
84204-0009,"Avobenzone, Homosalate, Octisalate, and Octocrylene",Black Girl Sunscreen Sunscreen SPF 30 broad Spectrum,"Black Girl Sunscreen, LLC",AVOBENZONE (29.4 mg/mL); HOMOSALATE (98 mg/mL); OCTISALATE (49 mg/mL); OCTOCRYLENE (26.95 mg/mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
0615-8581,BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,"NCS HealthCare of KY, LLC dba Vangard Labs",BUPROPION HYDROCHLORIDE (75 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA075491
84540-522,Calcium Carbonate,R Cos,"NPG Bio Pharmaceuticals Co.,Ltd.",CALCIUM CARBONATE (90 mg/500mg),TABLET,ORAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M022
84711-001,ZINC UNDECYLENATE,Puriya Antifungal Balm,"IPC Republic, Inc.",ZINC UNDECYLENATE (5.7 g/57g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M005
84878-405,Zinc Oxide,Sunsolve MD Mineral Shade Garnet 005,Sunsolve MD Inc,ZINC OXIDE (132 mg/mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
85068-015,ZINC OXIDE,Sheglam Dew and Done Skin Tint with SPF 20 Fair,EVER FAME PTE. LTD.,ZINC OXIDE (146.25 mg/mL),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
85509-1031,Omeprazole and Sodium Bicarbonate,Omeprazole and Sodium Bicarbonate,PHOENIX RX LLC,OMEPRAZOLE (20 mg/1); SODIUM BICARBONATE (1100 mg/1),CAPSULE,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA204228
85594-003,Sunscreen,Moisturizing and Translucent Sunscreen,"Dongguan Haiyi Cosmetics Co., Ltd.",HOUTTUYNIA CORDATA WHOLE (6 mg/100mL),CREAM,CUTANEOUS,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
85212-0030,"ASCORBIC ACID, KOJIC ACID",YVTYVT Dark Spot Remover Serum,"Beijing JUNGE Technology Co., Ltd.",ASCORBIC ACID (2 g/100mL); KOJIC ACID (1 g/100mL),LOTION,EXTRACORPOREAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,505G(a)(3)
85326-205,Zinc Oxide,Daily Moisturizing Glow Sunscreen Cream,Shelley Bennett Skincare,ZINC OXIDE (200 mg/g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
85403-212,"Titanium Dioxide, Zinc Oxide",Deluxe Lip Protection,BIOHEALTH PLUS LLC,TITANIUM DIOXIDE (40 mg/g); ZINC OXIDE (55 mg/g),STICK,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
85741-001,Salicylic acid,ZGjoib TAG WART REMOVER,"Shenzhen Deshijian Medical Equipment Co., Ltd",SALICYLIC ACID (1.7 g/10mL),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M028
85816-1001,Calcarea Fluorica,BM Calc Fluor,BM Private Limited,CALCIUM FLUORIDE (6 [hp_X]/60mg),TABLET,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
85890-208,Zinc Oxide,Solar Shield Tinted,DENISE BELL SKIN CARE,ZINC OXIDE (160 mg/g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
87063-014,Promethazine Hydrochloride,Promethazine Hydrochloride,ASCLEMED USA INC.,PROMETHAZINE HYDROCHLORIDE (12.5 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA040596
87279-1001,Zinc Oxide 24%,Universkin by Alma Daily Mineral Serum Broad Spectrum SPF50,UNIVERSKIN,ZINC OXIDE (24 g/100mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
98132-401,ZINC OXIDE,bareMinerals BAREPRO 24HR Wear Skin-Perfecting Matte Liquid Foundation Fair 10 Neutral,Orveon Global US LLC,ZINC OXIDE (2.1483 g/34.65g),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
0078-1406,everolimus,,Novartis Pharmaceuticals Corporation,EVEROLIMUS (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
0406-0678,Sufentanil Citrate,,SpecGx LLC,SUFENTANIL CITRATE (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,
0591-4102,Perphenazine,,"Actavis Pharma, Inc.",PERPHENAZINE (4 mg/1),"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
43457-540,Chloroquine Diphosphate,,"KDG Impresa LLC, Aqion","CHLOROQUINE DIPHOSPHATE, (R)- (1 kg/kg)",POWDER,,BULK INGREDIENT - ANIMAL DRUG,BULK INGREDIENT,
43742-1844,"DNA, Giardia Lamblia",,"Deseret Biologicals, Inc",GIARDIA LAMBLIA (60 [hp_C]/mL); HERRING SPERM DNA (60 [hp_C]/mL),LIQUID,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
43742-2250,"Babesia Microti, Babesia Microti DNA, Borrelia Burgdorferi Nosode, Borrelia Burgdorferi DNA",,"Deseret Biologicals, Inc.",BABESIA MICROTI (60 [hp_X]/mL); BABESIA MICROTI DNA (60 [hp_X]/mL); BORRELIA BURGDORFERI (60 [hp_X]/mL); BORRELIA BURGDORFERI DNA (60 [hp_X]/mL),LIQUID,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
46014-1059,Timolol maleate,,Excella GmbH & Co. KG,TIMOLOL MALEATE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,
46439-8768,AMIFOSTINE,,Farmabios S.p.A.,AMIFOSTINE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
10695-122,Vardenafil Hydrochloride,,"Willow Birch Pharma, LLC",VARDENAFIL HYDROCHLORIDE (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
10920-701,Arketamine Hydrochloride,,Arevipharma GmbH,"KETAMINE HYDROCHLORIDE, (R)- (1 kg/kg)",POWDER,,BULK INGREDIENT,BULK INGREDIENT,
11014-0664,Crinecerfont,,"Catalent Pharma Solutions, LLC",CRINECERFONT (100 mg/1),CAPSULE,,DRUG FOR FURTHER PROCESSING,DRUG FOR FURTHER PROCESSING,
12497-1032,L-Histidine,,"KYOWA HAKKO BIO CO., LTD.",HISTIDINE (50 kg/50kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,
12707-031,Apomorphine Hydrochloride,,MACFARLAN SMITH LIMITED,APOMORPHINE HYDROCHLORIDE (1 g/g),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
0781-5654,"Carbidopa, Levodopa, and Entacapone","Carbidopa, Levodopa, and Entacapone",Sandoz Inc,CARBIDOPA (37.5 mg/1); ENTACAPONE (200 mg/1); LEVODOPA (150 mg/1),"TABLET, FILM COATED",ORAL,HUMAN PRESCRIPTION DRUG,NDA AUTHORIZED GENERIC,NDA021485
14445-008,bromfenac sodium,,Indoco Remedies Limited,BROMFENAC SODIUM (1 kg/kg),POWDER,,BULK INGREDIENT,BULK INGREDIENT,
0781-7313,rivastigmine,Rivastigmine,Sandoz Inc,RIVASTIGMINE (13.3 mg/24h),"PATCH, EXTENDED RELEASE",TRANSDERMAL,HUMAN PRESCRIPTION DRUG,NDA AUTHORIZED GENERIC,NDA022083
